,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,home score,visiting score,Win Binary,Year
0,31,3970,1718,27,3193,1337,54.9,17,3923,1805,28,3976,1477,72.5,20.0,17.0,1.0,2015
0,19,3343,2432,25,3972,1730,66.3,24,4057,1868,30,3763,1335,62.0,22.0,17.0,1.0,2015
0,19,3589,2282,39,3752,1415,61.4,28,3852,2162,23,3840,1606,57.2,38.0,10.0,1.0,2015
0,19,3811,1496,16,4000,2019,45.6,14,4587,1404,21,3852,1578,68.4,20.0,10.0,1.0,2015
0,17,3923,1805,28,3976,1477,72.5,28,4271,1478,14,3737,1661,50.8,24.0,16.0,1.0,2015
0,30,4379,1606,23,3882,1680,64.1,20,4970,1491,22,4544,2071,66.8,17.0,20.0,0.0,2015
0,20,3833,1731,25,3366,1597,52.8,28,4108,1473,18,4291,1709,51.4,30.0,6.0,1.0,2015
0,30,3782,1529,21,4012,2055,52.9,28,4603,1724,30,4350,1459,72.8,12.0,28.0,0.0,2015
0,15,3255,2044,29,3698,1571,61.1,24,3879,1457,25,4140,1678,43.1,23.0,17.0,1.0,2015
0,30,3704,1438,25,4114,1952,52.4,33,3503,1485,19,3678,1797,48.4,30.0,24.0,1.0,2015
0,33,3471,1890,11,3636,1931,50.5,22,4095,1566,27,4128,1962,67.8,23.0,34.0,0.0,2015
0,21,3663,1854,17,3593,1934,61.0,24,4212,1335,19,3789,1808,58.3,20.0,24.0,0.0,2015
0,21,4347,1609,28,4783,1942,57.9,31,4087,1743,26,4273,2153,39.2,30.0,35.0,0.0,2015
0,17,3503,1850,22,3642,1905,60.0,17,2928,2211,22,3762,1748,57.7,13.0,20.0,0.0,2015
0,31,3970,1718,27,3193,1337,54.9,24,4591,1358,20,3786,2005,57.3,27.0,20.0,1.0,2015
0,17,3316,1544,12,4179,2020,43.7,22,2805,1956,26,4065,1820,28.9,19.0,16.0,1.0,2015
0,24,4616,1917,33,3687,1460,76.4,16,3790,2268,23,3364,1304,68.6,6.0,36.0,0.0,2015
0,20,3833,1731,25,3366,1597,52.8,15,3255,2044,29,3698,1571,61.1,0.0,30.0,0.0,2015
0,17,3923,1805,28,3976,1477,72.5,28,4603,1724,30,4350,1459,72.8,16.0,18.0,0.0,2015
0,17,2928,2211,22,3762,1748,57.7,16,3790,2268,23,3364,1304,68.6,9.0,10.0,0.0,2015
0,22,4095,1566,27,4128,1962,67.8,17,3503,1850,22,3642,1905,60.0,18.0,35.0,0.0,2015
0,14,4587,1404,21,3852,1578,68.4,15,3255,2044,29,3698,1571,61.1,27.0,20.0,1.0,2015
0,24,4616,1917,33,3687,1460,76.4,17,3503,1850,22,3642,1905,60.0,26.0,20.0,1.0,2015
0,19,3589,2282,39,3752,1415,61.4,16,3790,2268,23,3364,1304,68.6,31.0,24.0,1.0,2015
0,31,3970,1718,27,3193,1337,54.9,28,4603,1724,30,4350,1459,72.8,23.0,16.0,1.0,2015
0,31,3970,1718,27,3193,1337,54.9,14,4587,1404,21,3852,1578,68.4,20.0,18.0,1.0,2015
0,19,3589,2282,39,3752,1415,61.4,24,4616,1917,33,3687,1460,76.4,49.0,15.0,1.0,2015
