,home_Off Turnovers,home_Passing Yards,home_Rushing Yards,home_Def Turnovers,home_Passing Yards All,home_Rushing Yards All,home_QBR,home_Year,visiting_Off Turnovers,visiting_Passing Yards,visiting_Rushing Yards,visiting_Def Turnovers,visiting_Passing Yards All,visiting_Rushing Yards All,visiting_QBR,visiting_Year,home score,visiting score,Win Binary
0,26,4217,1916,15,4212,2013,71.0,2020,20,3736,1688,29,4024,1862,76.9,2020,25.0,26.0,0.0
0,16,4329,1784,19,3578,1917,69.6,2020,32,3451,1918,16,3807,2080,48.9,2020,19.0,16.0,1.0
0,19,2796,1683,19,4409,1792,40.2,2020,16,3539,2374,21,3962,1773,72.2,2020,23.0,16.0,1.0
0,18,4538,1466,9,4104,2564,70.5,2020,24,3448,1668,17,3859,2368,56.2,2020,31.0,37.0,0.0
0,18,4003,1351,27,3110,1783,60.1,2020,15,4053,1996,25,3866,1448,62.5,2020,28.0,24.0,1.0
0,25,3699,1519,17,4231,2452,51.7,2020,22,3655,1647,18,3705,1814,61.3,2020,17.0,41.0,0.0
0,27,3465,1611,23,3068,1805,34.8,2020,21,3888,1704,22,3825,1936,64.1,2020,13.0,20.0,0.0
0,18,2739,3071,22,3536,1740,73.7,2020,22,3026,1768,22,3807,1782,61.4,2020,27.0,13.0,1.0
0,16,4854,1799,22,3779,1954,82.9,2020,18,4363,1532,21,4697,1677,66.9,2020,17.0,14.0,1.0
0,18,3941,1971,22,4560,1529,73.5,2020,25,4014,2018,22,3051,1460,58.4,2020,20.0,9.0,1.0
0,26,4161,1788,23,3642,2541,53.8,2020,29,3327,2027,19,3798,2012,49.6,2020,37.0,17.0,1.0
0,11,4106,2118,18,3539,1805,84.3,2020,12,3653,2690,23,4439,1933,78.3,2020,40.0,14.0,1.0
0,19,2890,2346,22,3557,2103,47.0,2020,22,4620,1723,26,3726,1914,81.7,2020,9.0,38.0,0.0
0,29,3327,2027,19,3798,2012,49.6,2020,27,3465,1611,23,3068,1805,34.8,2020,14.0,20.0,0.0
0,15,4053,1996,25,3866,1448,62.5,2020,25,3699,1519,17,4231,2452,51.7,2020,28.0,14.0,1.0
0,22,3655,1647,18,3705,1814,61.3,2020,11,4106,2118,18,3539,1805,84.3,2020,16.0,35.0,0.0
0,22,3026,1768,22,3807,1782,61.4,2020,26,4161,1788,23,3642,2541,53.8,2020,23.0,19.0,1.0
0,16,3539,2374,21,3962,1773,72.2,2020,18,4003,1351,27,3110,1783,60.1,2020,24.0,22.0,1.0
0,18,4538,1466,9,4104,2564,70.5,2020,12,3653,2690,23,4439,1933,78.3,2020,38.0,41.0,0.0
0,21,3888,1704,22,3825,1936,64.1,2020,17,3758,2265,26,3472,1502,74.5,2020,7.0,33.0,0.0
0,19,2890,2346,22,3557,2103,47.0,2020,19,2796,1683,19,4409,1792,40.2,2020,28.0,14.0,1.0
0,21,4104,1499,12,4558,2158,68.4,2020,23,4009,2283,22,4141,2151,63.2,2020,35.0,37.0,0.0
0,17,4626,1519,25,3945,1289,72.6,2020,18,4363,1532,21,4697,1677,66.9,2020,44.0,27.0,1.0
0,24,3448,1668,17,3859,2368,56.2,2020,18,2739,3071,22,3536,1740,73.7,2020,3.0,38.0,0.0
0,22,4620,1723,26,3726,1914,81.7,2020,20,3736,1688,29,4024,1862,76.9,2020,56.0,26.0,1.0
0,16,4854,1799,22,3779,1954,82.9,2020,16,4329,1784,19,3578,1917,69.6,2020,21.0,38.0,0.0
0,31,4033,1889,20,3327,1703,43.6,2020,18,3941,1971,22,4560,1529,73.5,2020,23.0,26.0,0.0
0,32,3451,1918,16,3807,2080,48.9,2020,26,4217,1916,15,4212,2013,71.0,2020,31.0,32.0,0.0
0,25,4014,2018,22,3051,1460,58.4,2020,21,3916,2237,21,3623,2008,68.9,2020,18.0,7.0,1.0
0,22,4620,1723,26,3726,1914,81.7,2020,15,4053,1996,25,3866,1448,62.5,2020,27.0,24.0,1.0
0,18,3941,1971,22,4560,1529,73.5,2020,25,4014,2018,22,3051,1460,58.4,2020,20.0,30.0,0.0
0,27,3465,1611,23,3068,1805,34.8,2020,17,4626,1519,25,3945,1289,72.6,2020,23.0,31.0,0.0
0,12,3653,2690,23,4439,1933,78.3,2020,18,2739,3071,22,3536,1740,73.7,2020,13.0,20.0,0.0
0,17,3758,2265,26,3472,1502,74.5,2020,22,3655,1647,18,3705,1814,61.3,2020,21.0,9.0,1.0
0,18,4003,1351,27,3110,1783,60.1,2020,16,3539,2374,21,3962,1773,72.2,2020,37.0,48.0,0.0
0,11,4106,2118,18,3539,1805,84.3,2020,25,4014,2018,22,3051,1460,58.4,2020,32.0,18.0,1.0
0,22,4620,1723,26,3726,1914,81.7,2020,18,2739,3071,22,3536,1740,73.7,2020,17.0,3.0,1.0
0,16,4854,1799,22,3779,1954,82.9,2020,16,3539,2374,21,3962,1773,72.2,2020,22.0,17.0,1.0
0,17,3758,2265,26,3472,1502,74.5,2020,17,4626,1519,25,3945,1289,72.6,2020,20.0,30.0,0.0
0,11,4106,2118,18,3539,1805,84.3,2020,17,4626,1519,25,3945,1289,72.6,2020,26.0,31.0,0.0
